B, N1
le, 0.544398350247131
lf, 0.291923634417762
lh, 0.338316342662397
li, 0.494155901519660
lj, 0.648992656121694
lk, 0.544230177037368
lo, 0.157098554514760
lp, 0.827453248929444
lr, 0.400496878108826
ls, 0.125752275077039
lu, 0.656706349429926
lv, 0.734439874014357
lw, 0.744548396616332
lx, 0.613849033734502
lz, 0.290249422032836
ma, 0.119269004443895
mb, 0.655882871294145
mc, 0.114702166511949
me, 0.110520068880894
mf, 0.401424830707347
mg, 0.442677468969227
mh, 0.193803868539089
mi, 0.228092260967392
mj, 0.423696323678408
mk, 0.973044573081362
mm, 0.371012421561879
mn, 0.837896386603231
mo, 0.525436519395853
mq, 0.855934921313690
mt, 0.619159350903500
mu, 0.297625412329984
mv, 0.496011539362105
mw, 0.712689095483500
mx, 0.410390177263481
my, 0.500290613443972
mz, 0.085937721404774
nb, 0.134073236830949
nc, 0.490766209015530
nd, 0.318322550842291
ne, 0.049845798180664
ng, 0.489871863667502
nh, 0.674624858465645
nk, 0.417186385591838
nl, 0.574901175423830
no, 0.264295505477309
np, 0.517056960673234
nq, 0.786850480451592
ns, 0.954495251053270
nt, 0.420593875062880
nu, 0.097156612829322
nv, 0.438617596419397
nw, 0.543028503771557
nx, 0.479367845815091
ny, 0.662676237787324
nz, 0.927947088100561
oa, 0.823743965797475
ob, 0.499787947365721
oc, 0.502538525656836
od, 0.393348466025957
oh, 0.584682863871126
oi, 0.386458120194095
oj, 0.469040106974284
ok, 0.253658798962002
oo, 0.522726591482818
or, 0.889584000992907
os, 0.384132915089850
ou, 0.739614691396345
ov, 0.452696472113050
oy, 0.080504817362086
oz, 0.674256059931918
pa, 0.442034694975175
pb, 0.680324063479684
pc, 0.108361317199477
pe, 0.415837409096303
pg, 0.640979372063832
ph, 0.344519456379962
pi, 0.520224431745003
pl, 0.496015178035001
pn, 0.953780090480013
po, 0.419076029141016
pp, 0.704820634837143
pu, 0.769663739707135
pv, 0.758939431901849
pw, 0.305750915616290
px, 0.436690796339846
py, 0.311180096864646
pz, 0.275492695963045
qa, 0.583485855226929
qc, 0.587781615394882
qe, 0.972162241632055
qf, 0.846491688878765
qh, 0.434439229035781
qi, 0.074000826732352
qj, 0.387741155134284
ql, 0.189043610207723
qn, 0.535774422344820
qo, 0.592983237119303
qr, 0.608360119659794
qt, 0.250570621452230
qu, 0.965323811086624
qv, 0.375758337992843
qw, 0.439648043692067
qx, 0.804191328403767
qy, 0.606001089594950
qz, 0.517629620104274
ra, 0.380752192609761
rb, 0.906263573463416
rc, 0.737364045457934
rd, 0.266710768909819
re, 0.302417746876268
rf, 0.867387244499370
rg, 0.494199337238628
rh, 0.493362848795802
ri, 0.829167781442274
rj, 0.623549829568942
rk, 0.704246709937908
rm, 0.330965147692785
rn, 0.716847498604088
rp, 0.730752091859213
rq, 0.628940260343148
rt, 0.887624899294427
ru, 0.384484290786255
rv, 0.134500177430291
rw, 0.675332833875013
rx, 0.305598681346914
ry, 0.456381742020710
rz, 0.804511151186035
sa, 0.357472539050221
sb, 0.661714183535726
sc, 0.585411027451947
sd, 0.763464806456095
se, 0.344995013354101
sg, 0.522245433608595
sh, 0.582918290439128
si, 0.629291518098847
sj, 0.294317743639104
sk, 0.186590728980687
sl, 0.201678662173702
sm, 0.891773912415577
so, 0.406969783185628
sp, 0.847179386076277
sq, 0.425525806539479
sr, 0.022920559016645
st, 0.767354463595569
sv, 0.586877515675975
sw, 0.457259176492266
sx, 0.404388612806490
sz, 0.306813537166111
ta, 0.699964894506143
tb, 0.600078004271474
te, 0.441345314192111
tf, 0.408403058057152
tg, 0.711214976421162
th, 0.476072088393844
ti, 0.703144023569494
tj, 0.630303360781863
tk, 0.979578907134619
tl, 0.333891228601934
tm, 0.243110988703119
tn, 0.578853758921407
to, 0.345763879802291
tp, 0.897003980078497
tq, 0.588022119308738
tr, 0.563697854223126
tt, 0.414977670181061
tu, 0.875074396814356
tw, 0.320245696460569
tx, 0.435771081403660
ty, 0.738804477422558
ua, 0.422496424752269
ub, 0.311276366789037
uc, 0.325037812183069
ud, 0.207857217886751
ue, 0.772760469550558
uf, 0.577883460060974
ug, 0.163497874061038
uh, 0.637485245345469
ui, 0.669988731440839
uj, 0.434900808941788
uk, 0.773186618645972
ul, 0.122019979945700
um, 0.456270453102137
un, 0.490965543946289
up, 0.450993969051369
uq, 0.274125801505070
us, 0.292978276758895
ut, 0.602019643118513
uu, 0.151708724200983
uv, 0.764933771344082
uw, 0.644086853493756
ux, 0.928544298737700
uy, 0.751650114149502
uz, 0.184480748578777
va, 0.716074088863314
vb, 0.242023424222953
vc, 0.735651815398736
vd, 0.560185798781047
ve, 0.582881274127199
vf, 0.300003705640167
vg, 0.831702938794898
vh, 0.576035111637541
vi, 0.626343034955526
vk, 0.390017800323546
vl, 0.389072030816615
vm, 0.357165615001665
vo, 0.833643712967467
vp, 0.470178730401964
vq, 0.198644986737431
vr, 0.986440007108958
vs, 0.612169936325876
vt, 0.377210279138291
vv, 0.653826362963632
vw, 0.246191975100490
vy, 0.518626226931196
vz, 0.540930588759602
wd, 0.093949047569408
we, 0.437142971312146
wf, 0.965065390576168
wg, 0.148673440698670
wj, 0.908930861437501
wk, 0.916567615906250
wl, 0.828603848169890
wn, 0.789679753978919
wo, 0.589267288738164
wp, 0.852356047928628
wr, 0.538979312851709
wu, 0.368446605640297
wv, 0.377788928267571
wx, 0.530315253729378
xa, 0.681547438605186
xb, 0.015742646790983
xd, 0.581950750802850
xf, 0.664841860900970
xg, 0.485352751854250
xh, 0.668707646615793
xj, 0.854454764135331
xk, 0.467448557650183
xl, 0.801759226030171
xn, 0.085126350140799
xo, 0.503170131565594
xp, 0.556750148379110
xq, 0.559582298751976
xr, 0.734968978515831
xs, 0.295900889367623
xu, 0.861033258263418
xv, 0.160167947812865
xw, 0.361194380515550
xx, 0.682053032886330
xy, 0.834506653479965
ya, 0.436227224735138
yb, 0.356119780725494
yc, 0.067756622712923
yd, 0.637924410929614
ye, 0.744061851448784
yf, 0.640595665269057
yg, 0.436782713188329
yj, 0.547572858320877
yl, 0.568473133644476
ym, 0.306521835605029
yo, 0.363741418143731
yp, 0.248983593016103
yq, 0.519783441981630
yr, 0.581303163418961
ys, 0.621255443563055
yt, 0.630079057823770
yu, 0.312101794244039
yv, 0.551857231415467
yw, 0.456545085390109
yy, 0.425243562834609
yz, 0.993640645438899
zb, 0.638438974824952
zc, 0.686986045300860
ze, 0.254016296678924
zf, 0.277808859355302
zi, 0.784794677030727
zk, 0.458539076533629
zl, 0.406586948898799
zn, 0.679944873966095
zq, 0.440852508152947
zr, 0.616895978370106
zs, 0.359313277166735
zt, 0.210217965563124
zu, 0.305928822679852
zw, 0.658146928950630
zx, 0.543584898748645
zy, 0.572622361392031
zz, 0.052421857358284
