C, N2
mvn, 0.171440348028080
mwf, 0.426447674839317
mwn, 0.970268819905232
mxf, 0.608659776926695
mxh, 0.445380210567910
myo, 0.290157498228511
mze, 0.682516453015986
ncm, 0.674531924244105
ncz, 0.230621263170869
ndg, 0.723801241984857
nem, 0.177521042625404
nfh, 0.487592777516747
ngu, 0.853157255129865
ngz, 0.016340159130143
nhe, 0.030095253023915
nht, 0.097622790472597
nhv, 0.478987397428476
niz, 0.018085403547945
njo, 0.364329541858439
nkj, 0.876372221889330
nlj, 0.775774012262749
nnj, 0.877594516058892
nnm, 0.735166320279223
nnz, 0.425525822438236
nob, 0.417448003122467
noo, 0.707480528037511
npq, 0.358045922593308
npz, 0.307616822678377
nqc, 0.274193306045824
nrs, 0.932619217074053
nsa, 0.171331409196613
nup, 0.680720908230522
nus, 0.323391775053288
nvz, 0.840694028714721
nwh, 0.479275613788990
nxw, 0.394688174700841
nzz, 0.245523967905144
obb, 0.397671571945465
ocj, 0.202645596256004
ocu, 0.206508986866088
odt, 0.801979734582199
oen, 0.633284284380188
oet, 0.776704690723938
ofn, 0.033249615629381
ofu, 0.082116017615520
oga, 0.556324921684000
ogn, 0.876275891927161
ogu, 0.101754757828997
ohn, 0.624895799183964
ohu, 0.482828019332519
ohv, 0.630378218962439
oih, 0.966963639254824
oin, 0.989812406158507
oji, 0.240332830176228
ojm, 0.781081099925294
oka, 0.769121174545751
okf, 0.765800175224580
oko, 0.736071931496095
olb, 0.310118164702313
olh, 0.129369260521514
omb, 0.743739128613922
ome, 0.210522899341856
omf, 0.008197539784711
oog, 0.029576673540019
ooj, 0.148216911160967
oox, 0.971581032324397
opa, 0.120918696142134
oqg, 0.290053354601812
oqp, 0.426068719659122
oqv, 0.835975917833906
orz, 0.911642993945126
osk, 0.808784032045770
osy, 0.191973375571039
otf, 0.913011951859402
ouv, 0.246633294041519
ovj, 0.784018962504700
owu, 0.974899296443810
oyc, 0.814501508107668
oym, 0.601555420969117
oyn, 0.954620486363799
oyt, 0.944689232312880
ozs, 0.625592876020540
pat, 0.496826413006695
pbg, 0.281721501220022
pbk, 0.021907811773305
pcg, 0.280416966273144
pcm, 0.347165391729071
pdr, 0.213850717401795
pdx, 0.910380210290391
pfz, 0.405425737733914
pgp, 0.902006429415724
phu, 0.667178351295099
pin, 0.885903321441195
pir, 0.573574196640881
piu, 0.810971004674020
piv, 0.905470815638257
pix, 0.790274299860295
pjw, 0.319993006624932
plk, 0.068991067520435
plq, 0.582473501285411
pmv, 0.603318567323990
pmy, 0.060688954517242
poq, 0.942238749246851
ppm, 0.004520154779933
ppt, 0.936477044632361
pqh, 0.625505683459297
prj, 0.228524544664880
psh, 0.537541483698806
ptc, 0.468343918506103
pue, 0.350949022267199
puq, 0.113961082755307
pve, 0.115351360101483
pxb, 0.928696286215930
pya, 0.635229627616905
pyi, 0.874822982890532
pzc, 0.569455511349032
pzl, 0.149845642687818
pzp, 0.011825766918194
qai, 0.205099887959083
qam, 0.355110315550570
qcc, 0.490699631099626
qcw, 0.857168504510697
qeq, 0.322771308836428
qes, 0.464578283067075
qew, 0.341767866318008
qfc, 0.012208750289773
qfo, 0.407839622295736
qjl, 0.887877079231263
qjx, 0.888330001636092
qjy, 0.556039477276784
qku, 0.153744007232689
qlb, 0.131688645000786
qlx, 0.267661091919994
qnm, 0.675563026282442
qoi, 0.686186432211081
qqg, 0.900081149556402
qqi, 0.441519272112894
qql, 0.034023245266620
qqx, 0.312887669436868
qsb, 0.352646486200553
qsg, 0.714139128883824
qsh, 0.289838654923550
qsl, 0.886468569987467
qsw, 0.954990881591754
qtp, 0.198098372272159
qtt, 0.364476627296564
qtx, 0.339710168642290
qum, 0.399790550647018
qva, 0.356154506634852
qvh, 0.939398078770524
qvk, 0.087130915664649
qwe, 0.225404960431859
qxo, 0.456381005646645
qzh, 0.020016125656841
qzi, 0.517139029670716
qzp, 0.674260974013907
qzq, 0.360550863325027
rcs, 0.670899056829096
red, 0.025124189175736
rel, 0.487700590607651
ren, 0.001742088683807
rfz, 0.940476710827586
rgh, 0.997867986146747
rha, 0.649581833793658
rhs, 0.741474586352234
rie, 0.522751598536849
ris, 0.517872204323600
rjd, 0.216440586934172
rkn, 0.326316381743384
rmi, 0.369958077266562
rmm, 0.167727475670901
rmu, 0.720800996074567
rnl, 0.644370114467256
roa, 0.180050674951031
rpi, 0.020104232328401
rpk, 0.535366283808641
rqc, 0.623803753850895
rqw, 0.891330134083853
rru, 0.020533917843599
rrx, 0.966136266283275
rtr, 0.169705014326062
ruo, 0.091446808988305
rux, 0.884180087601688
rvh, 0.967958285159064
rvn, 0.919615679930888
rwj, 0.624431625929322
rwk, 0.751458973915106
rwu, 0.324665149984294
rxo, 0.627441900262492
ryw, 0.829895084008097
rzb, 0.658527929686123
sah, 0.502992490111771
sas, 0.128653276288808
say, 0.224681989339308
sbd, 0.329407862722949
sbn, 0.611645930127965
sbw, 0.499654912236333
sdf, 0.000202182853779
sea, 0.002825568153146
sec, 0.448048194806705
sej, 0.580814503219012
ser, 0.498737557851991
seu, 0.250637916783348
shd, 0.414428291919012
sia, 0.701961642312980
skg, 0.884267168446292
skl, 0.845148557893520
slc, 0.738614143366704
smv, 0.932257081085114
snn, 0.938026451419458
soe, 0.295492609598316
spl, 0.414091259373557
spo, 0.073665765620682
spq, 0.236047630548603
sqj, 0.026631781424874
sqt, 0.926027954224532
sqx, 0.868384217947267
sru, 0.674291105071467
srw, 0.556912272561466
ssb, 0.296808485775926
ssj, 0.289948694582653
ssv, 0.823830854943187
sto, 0.006258550560571
svm, 0.413738565511605
szs, 0.938988161954717
tay, 0.730387973656041
tbf, 0.670847808808229
tdw, 0.974534928092640
tec, 0.220278315757174
tgk, 0.233548104118774
tgm, 0.864263404193059
tgn, 0.803347592345182
thf, 0.902339454569617
tig, 0.792385089625061
tim, 0.574993295032357
tkd, 0.673352756954920
tlj, 0.007089463999572
tmd, 0.156880722988804
tml, 0.258708149373020
tmv, 0.219711390818992
tna, 0.369688479421546
tng, 0.805930817105554
tnj, 0.463929275449924
tnk, 0.696680084163578
tod, 0.365191330289652
top, 0.303285730567560
tqo, 0.577024038883443
trt, 0.152974164811278
tsi, 0.631021930732262
tsq, 0.339109960358146
tuc, 0.091691644204513
txa, 0.556598627282806
txm, 0.717770597294961
tyx, 0.671814380275317
tyy, 0.977023455747294
tzv, 0.938620762103619
uah, 0.500426490685707
uai, 0.101794104351909
uar, 0.976153458638386
uas, 0.365811215079319
ubn, 0.798970446043934
udb, 0.677208810324266
udk, 0.729366194822627
udx, 0.808695027581684
ueb, 0.889319374857249
uee, 0.212238549396378
uef, 0.551171056612726
ueg, 0.546882546877896
ufc, 0.532057687378164
uhf, 0.552596805085304
uhs, 0.268581122888203
uih, 0.651207050202270
uiu, 0.356189308591503
uja, 0.765154181469789
ujl, 0.676237621433595
ukj, 0.607609026658023
uma, 0.577198819566899
umm, 0.403664740207508
umx, 0.041744160750914
unj, 0.509710384070676
upf, 0.975658135926528
upi, 0.324938312890204
upt, 0.716018438770344
upz, 0.416188047706763
uqw, 0.975325393169383
urk, 0.979364761625134
usj, 0.186208444086048
uta, 0.040914995219561
utc, 0.398432981357114
uud, 0.711378983659411
uue, 0.890652252184002
uus, 0.047414331006803
uut, 0.805707331483623
uuz, 0.146046213980124
uvf, 0.650137682523904
uwo, 0.958990368084177
uxi, 0.200779735133979
uyb, 0.849863534541648
uyc, 0.226395750337270
uyg, 0.657843916724501
uzm, 0.369248859586222
uzn, 0.359895724599983
vaq, 0.660021118436525
vau, 0.290239682713550
vbz, 0.669279259790291
vck, 0.524539635033044
vfa, 0.286148247809979
vfn, 0.038539378869598
vfp, 0.649621643343702
vgk, 0.170577143617780
vgn, 0.890236613948657
vhb, 0.035043315496081
vid, 0.280724767450390
vif, 0.102672748596128
vio, 0.838215963601639
vjv, 0.960822746719903
vko, 0.513323723499129
vlp, 0.380794009552072
vls, 0.159577038175497
vmd, 0.093476338691603
vnb, 0.067649581324829
vnz, 0.743352210004127
voe, 0.098597485494852
vqo, 0.896102914751334
vtp, 0.991208938199787
vuo, 0.430711886902918
vvc, 0.795707577937240
vwz, 0.294652522522623
vye, 0.393721244825385
vyl, 0.380024705487787
vyv, 0.504535834887160
vyx, 0.760337610820662
wag, 0.373020773768738
wcc, 0.113521834944091
wcl, 0.476319938853665
wdz, 0.036661043351996
weg, 0.430650642703295
wel, 0.549142886207398
wes, 0.264109367184244
wfp, 0.336447197484387
wgl, 0.410659827961117
whd, 0.540758628711723
whx, 0.463993846419110
wjb, 0.346892690360280
wjr, 0.905716400756672
wkx, 0.465008476574291
wmp, 0.843021819179374
wnf, 0.661610286821002
wnl, 0.298487344782314
wpq, 0.198761254802186
wqd, 0.474302955782898
wqf, 0.484270008923635
wqh, 0.573178465745643
wqj, 0.518125969719846
wre, 0.720802827460543
wrp, 0.232289383298873
wrz, 0.278662967346986
wso, 0.821566990201296
wtp, 0.434676508300611
wuu, 0.996404243163348
wwc, 0.382720415998359
wwl, 0.051428136110051
wwy, 0.627440367485830
wxp, 0.566177959738558
wxt, 0.523102907840813
wxw, 0.508374738783157
wzf, 0.875471425982431
wzl, 0.218172121988082
wzp, 0.893284131666933
xaa, 0.170330006139605
xbt, 0.592178722381220
xcb, 0.232333599330425
xcd, 0.945658486515073
xch, 0.847496812441127
xcj, 0.136070761393191
xco, 0.335230380462265
xcr, 0.059904056433198
xdb, 0.224063932585784
xdn, 0.621714283759482
xdy, 0.493309570170822
xev, 0.418066560899966
xfl, 0.710987582150418
xfx, 0.876015767941772
xgq, 0.104789482227265
xhl, 0.686767365728832
xhz, 0.967183666243609
xje, 0.472114673697226
xjt, 0.612555618633519
xkz, 0.482498344763098
xlq, 0.944600095025936
xma, 0.925123853518614
xmb, 0.649987167731000
xmn, 0.240111784481402
xmr, 0.459780455424091
xnh, 0.705383165393988
xno, 0.263396740504818
xnx, 0.730237209732260
xod, 0.578368212868079
xof, 0.823912615321291
xoh, 0.140509815350256
xok, 0.304543090994917
xpl, 0.516678377662211
xsp, 0.089759193575878
xsq, 0.680149159146144
xte, 0.745359805831140
xtg, 0.979635940986282
xuw, 0.941515656048360
xvc, 0.980111471771946
xvq, 0.565304695030543
xwo, 0.135630021927776
xwv, 0.855607926415093
xxb, 0.839668793948452
xxl, 0.623161473233836
xzm, 0.092683274938232
xzp, 0.629432582477122
yap, 0.848186526258977
yby, 0.459922399864148
yci, 0.783896195978958
yed, 0.431700161350552
yet, 0.192484208582923
yex, 0.494885606834699
yfr, 0.902862645096410
yia, 0.453144317393020
yjs, 0.767228869416066
ykg, 0.898812934348870
ylk, 0.486769222884974
ylt, 0.665013246797513
ymk, 0.523987633971869
ynd, 0.288651385794787
yol, 0.202097621627838
yoz, 0.623444398444486
ypc, 0.287227148589069
ypp, 0.844437435479448
yqy, 0.933284685370880
yrx, 0.452136241343924
ysa, 0.324082437149279
ysj, 0.091750503025932
ysq, 0.388407233538948
ytp, 0.753693286079954
ytr, 0.907687217335192
yvf, 0.453175102490682
yvl, 0.360294998440675
yvm, 0.055841579586825
ywf, 0.219429326978313
ywi, 0.092281383602542
yxn, 0.737361911099469
yyh, 0.626948204376310
yyz, 0.796861214299514
yzz, 0.541819075025102
zak, 0.446997542724696
zas, 0.173348178169576
zbf, 0.318411652542417
zbh, 0.867804468736860
zbk, 0.713073502726553
zbn, 0.050578759095769
zbq, 0.996738408124009
zbz, 0.413331134393804
zcl, 0.186909597710182
zcv, 0.941122354662452
zdo, 0.070943984930699
zfa, 0.785507064905538
zgb, 0.899268430909995
zhb, 0.451853908034167
zia, 0.274550184041572
zio, 0.216617308849056
zjf, 0.587102270958238
zjv, 0.211179826470179
zle, 0.531472435400740
zmt, 0.594440825364510
zna, 0.797804315639074
znb, 0.510328980768580
znj, 0.192675991070970
znm, 0.739939648532931
zpe, 0.355827165129568
zpl, 0.134723073208569
zqj, 0.482214909022423
zqz, 0.155539107661490
zrj, 0.468853221732633
zrr, 0.898613976514154
zso, 0.187741575827707
zsy, 0.427051235595650
ztg, 0.404843676111343
ztn, 0.916932407360692
ztu, 0.993123583471518
zvu, 0.038289819780700
zwf, 0.291747697784571
zwq, 0.864981729141879
zwz, 0.146037549661070
zxy, 0.253123221286120
zyd, 0.085418880297231
zyv, 0.469989781766203
zzi, 0.701108334766901
